isocode3,country,underweightsev_2011_per_GDL,underweightsev_2015_per_GDL,underweightsev_2005_per_GDL,underweightsev_2009_per_GDL,underweightsev_2017_per_GDL,underweightsev_2002_per_GDL,underweightsev_2013_per_GDL,underweightsev_2019_per_GDL,underweightsev_2000_per_GDL,underweightsev_2016_per_GDL,underweightsev_2010_per_GDL,underweightsev_2006_per_GDL,underweightsev_2023_per_GDL,underweightsev_1996_per_GDL,underweightsev_2004_per_GDL,underweightsev_2014_per_GDL,underweightsev_2022_per_GDL,underweightsev_2012_per_GDL,underweightsev_2001_per_GDL,underweightsev_2018_per_GDL,underweightsev_2021_per_GDL,underweightsev_1998_per_GDL,underweightsev_2003_per_GDL,underweightsev_2008_per_GDL,underweightsev_1994_per_GDL,underweightsev_1997_per_GDL,underweightsev_1995_per_GDL,underweightsev_2007_per_GDL,underweightsev_1999_per_GDL,underweightsev_2020_per_GDL,underweightsev_1992_per_GDL,underweightsev_1993_per_GDL,underweightsev_2024_per_GDL,underweightsev_1991_per_GDL
LAO,Lao PDR,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSO,Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5.1,2,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA
MDG,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,6.1,5.5,NA,NA,NA,NA,13.6,NA,NA,NA,NA,11,NA,NA,NA
MWI,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2.5,3.5,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,9,NA,NA,NA
MEX,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Moldova,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,Montenegro,NA,NA,1.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA
MOZ,Mozambique,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,7.8,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA
MMR,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,8.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAM,Namibia,NA,NA,NA,NA,NA,NA,3.3,NA,6.2,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
NPL,Nepal,7.9,NA,NA,NA,NA,NA,NA,6.5,NA,5.4,NA,11,NA,NA,NA,NA,3.6,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
