"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"BRAr102","BRA001",163951917805.228,164271703566.73,0.998053311954776
"BRAr103","BRA012",425757976712.398,1558171592932.55,0.273242034859012
"BRAr104","BRA005",223797945718.467,224353156427.283,0.997525282382214
"BRAr106","BRA005",141517038274.197,142155534716.272,0.995508465826893
"BRAr107","BRA004",252807907528.044,277423585503.079,0.911270420896633
"BRAr107","BRA006",277397738451.608,277423585503.079,0.999906831816683
"BRAr108","BRA004",217061053043.51,329651532535.831,0.658456071396897
"BRAr108","BRA006",239214843001.65,329651532535.831,0.72565973275325
"BRAr109","BRA004",133016152674.243,251755485077.285,0.528354536678353
"BRAr109","BRA006",82236397100.9372,251755485077.285,0.326651858551133
"BRAr117","BRA004",317140711947.319,586514030308.059,0.540721441532686
"BRAr118","BRA003",16541660841.275,46074443694.4913,0.359020305290258
"BRAr118","BRA009",46008861338.8238,46074443694.4913,0.998576600162504
"BRAr119","BRA002",25071626743.5987,43750424618.968,0.573060192259914
"BRAr120","BRA002",63938935533.7946,248219486152.593,0.257590314623761
"BRAr121","BRA002",73515252999.077,199319274698.936,0.36883163010762
"BRAr122","BRA002",33090375247.0318,95652313675.5991,0.345944326650127
"BRAr124","BRA004",222095519271.196,357038721416.524,0.622048830978469
"BRAr124","BRA007",97351748413.5604,357038721416.524,0.272664399052643
"BRAr125","BRA004",337735453071.01,902966581512.51,0.374028740360787
"BRAr125","BRA013",291106099455.506,902966581512.51,0.322388563891135
"BRAr126","BRA004",334703532528.711,340242898576.185,0.983719377918969
"BRAr127","BRA004",5760786054.82723,5760786054.82653,1.00000000000012
"BTNr101","BTN001",1904882593.50361,2716962587.55884,0.701107406567245
"BTNr101","BTN002",802337762.896261,2716962587.55884,0.295306886657263
"BTNr102","BTN002",1879667031.41678,1879670382.41585,0.999998217241116
"BTNr103","BTN002",1601137807.46229,1722822267.81779,0.929369115649037
"BTNr104","BTN001",3079302768.78634,3134403576.04227,0.982420640508104
"BTNr105","BTN001",663018125.014493,1904537316.91357,0.348125562637417
"BTNr105","BTN002",1241515095.30447,1904537316.91357,0.651872286396798
"BTNr106","BTN001",2207152157.65187,2857814179.81593,0.772321788183593
"BTNr107","BTN002",1474510869.14759,1943555975.43958,0.758666530720371
"BTNr108","BTN001",352827632.926153,1287001228.09652,0.274147083331059
"BTNr108","BTN002",934170283.735274,1287001228.09652,0.725850343683753
"BTNr109","BTN002",869015880.939286,1021675420.94288,0.850579218336579
"BTNr110","BTN001",649024317.960368,1109560456.23415,0.584938219737172
"BTNr110","BTN002",460534511.301466,1109560456.23415,0.415060313941361
"BTNr111","BTN001",650098786.341557,1875613331.04552,0.346605974472987
"BTNr111","BTN002",1220888910.4129,1875613331.04552,0.650927827289619
"BTNr112","BTN002",1303698075.3363,1304563846.66841,0.999336351889314
"BTNr113","BTN001",985389892.464875,1655303303.43092,0.595292651456971
"BTNr113","BTN002",669908417.723906,1655303303.43092,0.404704332031113
"BTNr114","BTN001",895263639.318838,1795770203.89345,0.498540201512308
"BTNr114","BTN002",900504799.557197,1795770203.89345,0.501458815612817
"BTNr115","BTN001",739957206.754564,2202326844.45171,0.33598882410153
"BTNr115","BTN002",1462073828.41156,2202326844.45171,0.663876859193241
"BTNr116","BTN001",768426403.265244,1448267432.67053,0.53058322374087
"BTNr116","BTN002",679834593.023762,1448267432.67053,0.469412332065067
"BTNr117","BTN001",1253324085.51563,1813595756.56019,0.691071359745998
"BTNr117","BTN002",555763394.735559,1813595756.56019,0.306442818210858
"BTNr118","BTN002",562259076.877145,637830094.014001,0.881518577053536
"BTNr119","BTN001",2646868479.12952,4035590190.42525,0.655881383944639
"BTNr119","BTN002",1318230804.76912,4035590190.42525,0.326651305649597
"BTNr120","BTN001",1267749136.44122,2416158948.92215,0.524696083015053
"BTNr120","BTN002",1148403685.90766,2416158948.92215,0.475301381318461
"CANr102","CAN001",2052557818087.97,3904375830083.48,0.52570702909102
"CANr104","CAN005",31766682010.9349,72969150293.016,0.435344003368165
"CANr110","CAN002",264156579290.716,948848867628.72,0.278396895757354
"CHEr101","CHE001",8667678429.28867,8699695744.25292,0.996319720148213
"CHEr102","CHE001",10077947119.6553,10084837421.1934,0.999316766225341
"CHEr103","CHE001",1918891935.56568,1919895973.94083,0.999477035011909
"CHEr104","CHE001",1737817918.03153,1737955946.39504,0.999920580056242
"CHEr105","CHE001",11411068008.0334,11462758999.4876,0.995490527938655
"CHEr106","CHE001",4476074103.8437,4476074103.84374,0.999999999999991
"CHEr107","CHE001",2825144237.85472,2854203882.66408,0.989818651363396
"CHLr107","CHL003",30295427113.1005,30307381637.8847,0.999605557321743
"CHLr108","CHL003",37063983187.9476,37076533630.5548,0.999661499029756
"CHLr109","CHL003",31792639380.0314,31796976701.1476,0.99986359328571
"CHLr110","CHL003",66392434297.0084,66526681865.5808,0.997982049234867
"CHLr111","CHL003",106162770152.267,106587090711.688,0.996019024850117
"CHNr105","CHN004",324192103936.475,1146484630506.3,0.282770562561582
"CHNr107","CHN002",133628991941.821,191009577479.646,0.699593149752193
"CHNr108","CHN002",155959331957.499,454833936232.802,0.34289290999094
"CHNr108","CHN004",188830323119.779,454833936232.802,0.41516322349159
"CHNr109","CHN009",5197230956.70628,6883763602.13814,0.754998465533009
"CHNr109","CHN010",1745984223.45885,6883763602.13814,0.253638027737695
"CHNr117","CHN001",171771195894.262,186016812783.507,0.923417584270597
"CMRr103","CMR006",32132006228.3238,108939734103.048,0.294952126447541
"CMRr109","CMR006",17066619148.8277,47275295314.8421,0.361005024615249
"COGr209","COG001",20700193694.2318,57694747389.7485,0.358788184899998
"COLr101","COL001",17589434664.3642,62926081848.3408,0.279525343827331
"COLr101","COL004",34768622276.1969,62926081848.3408,0.552531180313965
"COLr103","COL004",1261530785.38117,1634775679.11857,0.771684336569872
"COLr104","COL004",7587371452.75138,26619008587.0403,0.285035839255312
"COLr105","COL004",11306405393.8604,23082707709.3081,0.489821451462607
"COLr105","COL005",10768258044.6721,23082707709.3081,0.466507577026146
"COLr106","COL004",6783724399.11769,7405370352.23708,0.916054711168957
"COLr107","COL003",89671214023.8355,89882953071.4864,0.997644280250979
"COLr108","COL001",10128281665.8097,30517681861.7542,0.331882405475327
"COLr108","COL004",15847621639.2646,30517681861.7542,0.519293100670448
"COLr109","COL004",6718714472.10731,22371705613.7663,0.300321959715624
"COLr111","COL004",15265490660.2344,22358839304.747,0.682749692511696
"COLr111","COL005",6747931275.55648,22358839304.747,0.301801501570962
"COLr112","COL001",47342648512.4867,47548350335.0593,0.995673838921371
"COLr113","COL004",18015830052.6718,18703104220.1572,0.963253470686177
"COLr116","COL003",33316594367.0807,85375756142.612,0.390234837995795
"COLr116","COL005",81541057537.1923,85375756142.612,0.955084455134849
"COLr117","COL001",20402301174.3043,31334833495.9881,0.651106098167603
"COLr118","COL004",11395375765.7422,21937155519.597,0.519455485263914
"COLr119","COL004",1933745988.22648,1933745988.2265,0.999999999999989
"COLr120","COL001",1002340122.2607,3538244308.63669,0.283287425860909
"COLr120","COL004",2535904186.37282,3538244308.63669,0.716712574138194
"COLr121","COL004",21155664079.6743,30588309719.2544,0.691625796712706
"COLr123","COL004",23946253654.0513,23972699136.7318,0.998896850015528
"COLr124","COL001",9897041130.89876,20895116112.3404,0.47365332059838
"COLr124","COL004",10827226673.4949,20895116112.3404,0.518170208544594
"COLr125","COL005",23715441713.1725,23732172158.9877,0.999295030994083
"COLr126","COL005",44377451078.8242,44379709112.1426,0.999949120141533
"COLr127","COL003",25619949906.1469,25888987896.6194,0.989608014359356
"COLr129","COL003",108431382236.654,109173164835.83,0.993205449340127
"COLr130","COL003",70121321740.1905,71034627931.9,0.987142803189101
"COLr130","COL005",41377401513.9958,71034627931.9,0.582496209505931
"COLr131","COL003",55425621606.0072,55427284613.2509,0.999969996595444
"COLr131","COL005",30455857568.3469,55427284613.2509,0.549474104330665
"COLr132","COL003",52747264575.0515,53189151422.0769,0.991692162119323
